Country,Country Code,Period,gM,gT,(I/Y)_T,gM_minus_gT,ICOR_ratio,ICOR_incremental,n_obs
Indonesia,IDN,1985-1989,6.0095144704627295,7.456586925168466,30.683032598078654,-1.4470724547057365,5.105742360533175,1.9199715372711623,4.0
Indonesia,IDN,1990-1994,6.937600041454462,7.539971095514389,29.570687748433688,-0.602371054059927,4.262380012070316,-13.34000020663821,5.0
Indonesia,IDN,1995-1999,1.6804947838528421,0.7911260819984705,22.138759311817537,0.8893687018543717,13.17395300749484,1.101214862947989,5.0
Indonesia,IDN,2000-2004,4.574850530356571,5.03087394501685,24.05636637477175,-0.4560234146602795,5.258393955200272,0.45229271289472855,5.0
Indonesia,IDN,2005-2009,5.636224019672445,4.628871182561525,30.98519241399812,1.0073528371109202,5.497509024809638,-17.235767229326886,5.0
Indonesia,IDN,2010-2014,5.797524231210997,5.006668425754995,34.6003439149803,0.790855805456002,5.96812407073854,9.569025624495783,5.0
Indonesia,IDN,2015-2019,5.034551320877045,5.019287680462824,33.78014237739954,0.015263640414221236,6.7096629320912085,-64.99603634055381,5.0
Indonesia,IDN,2020-2024,3.4047878076268403,5.030344694190376,31.396354183511026,-1.6255568865635355,9.221236669487046,-215.59059730102746,5.0
Malaysia,MYS,1985-1989,6.35746189581452,9.059600866504297,29.870858000817236,-2.702138970689777,4.698550851005954,0.4969225319294759,4.0
Malaysia,MYS,1990-1994,9.309219531523535,9.212041793348675,41.20208123359647,0.0971777381748602,4.425943667358481,74.33189673759296,5.0
Malaysia,MYS,1995-1999,5.186544911250624,6.137612010576916,22.382000505379633,-0.9510670993262922,4.3153970298856805,6.121486603362772,5.0
Malaysia,MYS,2000-2004,5.467893761081046,6.783437723703045,23.049564601053056,-1.315543962621999,4.2154375355851785,1.0336598281943117,5.0
Malaysia,MYS,2005-2009,4.106802665823932,-1.5135287159871353,17.835694957053096,5.620331381811067,4.342963713712987,0.6284067414155592,5.0
Malaysia,MYS,2010-2014,5.778531776220097,6.006721945582029,24.977608426281336,-0.22819016936193215,4.322483529305761,0.9496908800827149,5.0
Malaysia,MYS,2015-2019,4.922062125328696,4.413187421295859,21.04824039448149,0.508874704032837,4.276305308331695,2.4658192037351827,5.0
Malaysia,MYS,2020-2024,3.077993493580223,5.114155478290911,21.852583258740268,-2.036161984710688,7.099619704953322,1.1474743481277585,5.0
Philippines,PHL,1985-1989,5.188335752586941,6.18391820283388,21.009589211010816,-0.995582450246939,4.049388900966035,2.228469424116053,4.0
Philippines,PHL,1990-1994,1.9238934835854309,4.373665918190767,23.31145264832111,-2.449772434605336,12.11681044050169,-1.2715705191136397,5.0
Philippines,PHL,1995-1999,3.7008690495073866,3.3464511839826656,16.200654038343345,0.354417865524721,4.37752695964743,6.922407139593468,5.0
Philippines,PHL,2000-2004,4.560826198797935,6.5692285118062586,20.73100744612703,-2.0084023130083235,4.545450000175617,1.4057295763722917,5.0
Philippines,PHL,2005-2009,4.5142047716368126,1.4483230627566854,17.431721199199135,3.065881708880127,3.861526466128505,0.6442779074431524,5.0
Philippines,PHL,2010-2014,6.237640656568618,6.347987482608673,20.923970437370475,-0.11034682604005486,3.3544687149196792,0.712752739559424,5.0
Philippines,PHL,2015-2019,6.577753205264619,6.118525662213031,26.40180846472841,0.45922754305158797,4.013803443339477,-23.872546717850316,5.0
Philippines,PHL,2020-2024,2.997677265223314,5.6920161282341155,23.68464459595453,-2.6943388630108016,7.900998840243774,6.370699016796664,5.0
Thailand,THA,1985-1989,10.132848461932731,12.19050598661093,35.06611671165779,-2.0576575246781985,3.4606376324875296,1.3811401868725413,4.0
Thailand,THA,1990-1994,8.811550474355096,7.997024667204329,40.9077848466695,0.8145258071507673,4.6425183587980845,-1.393035449562545,5.0
Thailand,THA,1995-1999,1.5913914246524143,4.572307751155421,20.173405046446362,-2.9809163265030065,12.676582727503739,6.054333922625164,5.0
Thailand,THA,2000-2004,5.505423510280375,6.289342142857947,25.68141470248115,-0.7839186325775724,4.664748253159051,3.2078621620230434,5.0
Thailand,THA,2005-2009,3.12513632563506,-0.6906182323005794,20.636398376711817,3.8157545579356396,6.603359414254764,0.7227858117539457,5.0
Thailand,THA,2010-2014,3.8536566489981965,0.9844688636194263,23.919019547850148,2.86918778537877,6.206837226681359,1.9596719353481864,5.0
Thailand,THA,2015-2019,3.4168628163763515,2.1145577962827815,23.814752574637456,1.30230502009357,6.969771352978537,-0.09226439636653984,5.0
Thailand,THA,2020-2024,0.5252438147693482,2.5259617577149527,21.57227579908322,-2.0007179429456046,41.07097540702371,-5.450790429308879,5.0
Viet Nam,VNM,1985-1989,4.718071442909476,7.364512893958192,,-2.646441451048716,,0.0,4.0
Viet Nam,VNM,1990-1994,7.323904228093665,8.838980952453738,,-1.5150767243600738,,0.0,5.0
Viet Nam,VNM,1995-1999,7.514124831919392,4.7735868834498945,27.629756314665627,2.7405379484694974,3.6770424943297013,-0.11942596629280838,5.0
Viet Nam,VNM,2000-2004,6.74730096160601,7.536410608903864,35.465331668779974,-0.7891096472978543,5.25622495136758,2.836075020612057,5.0
Viet Nam,VNM,2005-2009,6.542875154927222,5.3978975401418126,37.162555433521504,1.1449776147854092,5.679850914706147,-0.7936466648408296,5.0
Viet Nam,VNM,2010-2014,6.063342470955388,6.422243121185673,30.289026786099132,-0.35890065023028495,4.995433942778191,-6.710165763021007,5.0
Viet Nam,VNM,2015-2019,7.088324632591994,7.359262701050056,31.979960656579742,-0.27093806845806245,4.511638830639392,1.8045875527225816,5.0
