Country,Country Code,Year,GDP_growth,GCF_percent,Delta_GCF_pct,Delta_GDP_growth,Period
Indonesia,IDN,1986,5.875045103598637,27.646517315660596,,,1985-1989
Indonesia,IDN,1987,4.925927364966114,27.246718993982384,-0.3997983216782117,-0.9491177386325234,1985-1989
Indonesia,IDN,1988,5.780498488117701,29.09802202318289,1.8513030292005048,0.8545711231515867,1985-1989
Indonesia,IDN,1989,7.456586925168466,30.683032598078654,1.5850105748957652,1.6760884370507654,1985-1989
Indonesia,IDN,1990,7.2421316385646435,32.70769008963318,2.024657491554528,-0.21445528660382251,1990-1994
Indonesia,IDN,1991,6.9119828359130935,31.869425483028813,-0.8382646066043691,-0.33014880265155,1990-1994
Indonesia,IDN,1992,6.497506516827144,30.17582733868315,-1.693598144345664,-0.4144763190859493,1990-1994
Indonesia,IDN,1993,6.49640812045304,28.280673111853567,-1.8951542268295825,-0.001098396374104027,1990-1994
Indonesia,IDN,1994,7.539971095514389,29.570687748433688,1.2900146365801213,1.0435629750613487,1990-1994
Indonesia,IDN,1995,8.220007399034927,30.429811088368876,0.8591233399351879,0.6800363035205379,1995-1999
Indonesia,IDN,1996,7.818187076708668,31.60236063751483,1.1725495491459554,-0.40182032232625886,1995-1999
Indonesia,IDN,1997,4.699878853903968,30.307675788176375,-1.2946848493384557,-3.1183082228047,1995-1999
Indonesia,IDN,1998,-13.126725492381823,27.42950666672944,-2.878169121446934,-17.82660434628579,1995-1999
Indonesia,IDN,1999,0.7911260819984705,22.138759311817537,-5.290747354911904,13.917851574380293,1995-1999
Indonesia,IDN,2000,4.920067747016901,22.2456969315568,0.10693761973926286,4.128941665018431,2000-2004
Indonesia,IDN,2001,3.6434664472149194,22.539266316066968,0.29356938451016745,-1.2766012998019818,2000-2004
Indonesia,IDN,2002,4.49947539085764,21.40407020751733,-1.1351961085496391,0.8560089436427205,2000-2004
Indonesia,IDN,2003,4.780369121676543,25.59849838697871,4.194428179461383,0.280893730818903,2000-2004
Indonesia,IDN,2004,5.03087394501685,24.05636637477175,-1.542132012206963,0.2505048233403073,2000-2004
Indonesia,IDN,2005,5.692571303833844,25.0814099389568,1.0250435641850508,0.6616973588169941,2005-2009
Indonesia,IDN,2006,5.500951785203483,25.40021729435477,0.318807355397972,-0.19161951863036109,2005-2009
